,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,29.30055511,16.81553148,0.7,16.89628607,67.87751168,16.81553148,23.35105618,23.36345507,23.37585396,23.38101773,23.38618149,23.38993908,23.39369667,23.39561612,23.39753557,0.7,5.445252525,5.448838384,5.445252525,5.439615792,5.433979058,5.423851858,5.413724658,5.412733977,5.413724658,29.30055511,32.643765,32.64768139,32.65159778,32.65255921,32.65352064,32.66358569,32.67365073,32.67646655,32.67928237,16.89628607,29.88339806,29.8193906,29.75538313,29.55823859,29.36109405,29.22017665,29.07925925,29.07552888,29.07179851,67.87751168,66.83768625,66.77521594,66.71274562,66.68240407,66.65206251,66.62130839,66.59055426,66.56067044,66.53078661
2,X2010.1,2,0,2010,29.72366956,20.24460396,9.440182648,21.55017937,75.43680442,20.24460396,16.81553148,23.36345507,23.37585396,23.38101773,23.38618149,23.38993908,23.39369667,23.39561612,23.39753557,9.440182648,0.7,5.448838384,5.445252525,5.439615792,5.433979058,5.423851858,5.413724658,5.412733977,5.413724658,29.72366956,29.30055511,32.64768139,32.65159778,32.65255921,32.65352064,32.66358569,32.67365073,32.67646655,32.67928237,21.55017937,16.89628607,29.8193906,29.75538313,29.55823859,29.36109405,29.22017665,29.07925925,29.07552888,29.07179851,75.43680442,67.87751168,66.77521594,66.71274562,66.68240407,66.65206251,66.62130839,66.59055426,66.56067044,66.53078661
3,X2010.2,3,0,2010,29.49614766,18.28532166,1.538271605,20.07858633,69.88409537,18.28532166,20.24460396,16.81553148,23.37585396,23.38101773,23.38618149,23.38993908,23.39369667,23.39561612,23.39753557,1.538271605,9.440182648,0.7,5.445252525,5.439615792,5.433979058,5.423851858,5.413724658,5.412733977,5.413724658,29.49614766,29.72366956,29.30055511,32.65159778,32.65255921,32.65352064,32.66358569,32.67365073,32.67646655,32.67928237,20.07858633,21.55017937,16.89628607,29.75538313,29.55823859,29.36109405,29.22017665,29.07925925,29.07552888,29.07179851,69.88409537,75.43680442,67.87751168,66.71274562,66.68240407,66.65206251,66.62130839,66.59055426,66.56067044,66.53078661
4,X2010.3,4,0,2010,29.68804332,16.19685179,0,12.50688266,63.20609905,16.19685179,18.28532166,20.24460396,16.81553148,23.38101773,23.38618149,23.38993908,23.39369667,23.39561612,23.39753557,0,1.538271605,9.440182648,0.7,5.439615792,5.433979058,5.423851858,5.413724658,5.412733977,5.413724658,29.68804332,29.49614766,29.72366956,29.30055511,32.65255921,32.65352064,32.66358569,32.67365073,32.67646655,32.67928237,12.50688266,20.07858633,21.55017937,16.89628607,29.55823859,29.36109405,29.22017665,29.07925925,29.07552888,29.07179851,63.20609905,69.88409537,75.43680442,67.87751168,66.68240407,66.65206251,66.62130839,66.59055426,66.56067044,66.53078661
5,X2010.4,5,0,2010,30.60486119,17.32044007,0,11.41718713,63.15569107,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,23.38618149,23.38993908,23.39369667,23.39561612,23.39753557,0,0,1.538271605,9.440182648,0.7,5.433979058,5.423851858,5.413724658,5.412733977,5.413724658,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,32.65352064,32.66358569,32.67365073,32.67646655,32.67928237,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,29.36109405,29.22017665,29.07925925,29.07552888,29.07179851,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168,66.65206251,66.62130839,66.59055426,66.56067044,66.53078661
6,X2010.5,6,0,2010,31.53129979,17.72610026,0,10.91469317,62.58734699,17.72610026,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,23.38993908,23.39369667,23.39561612,23.39753557,0,0,0,1.538271605,9.440182648,0.7,5.423851858,5.413724658,5.412733977,5.413724658,31.53129979,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,32.66358569,32.67365073,32.67646655,32.67928237,10.91469317,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,29.22017665,29.07925925,29.07552888,29.07179851,62.58734699,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168,66.62130839,66.59055426,66.56067044,66.53078661
7,X2010.6,7,0,2010,33.45536223,19.80164511,0,10.55999674,64.52932264,19.80164511,17.72610026,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,23.39369667,23.39561612,23.39753557,0,0,0,0,1.538271605,9.440182648,0.7,5.413724658,5.412733977,5.413724658,33.45536223,31.53129979,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,32.67365073,32.67646655,32.67928237,10.55999674,10.91469317,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,29.07925925,29.07552888,29.07179851,64.52932264,62.58734699,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168,66.59055426,66.56067044,66.53078661
8,X2010.7,8,0,2010,34.69356813,21.59117126,1.500462963,9.75800077,64.89463262,21.59117126,19.80164511,17.72610026,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,23.39561612,23.39753557,1.500462963,0,0,0,0,1.538271605,9.440182648,0.7,5.412733977,5.413724658,34.69356813,33.45536223,31.53129979,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,32.67646655,32.67928237,9.75800077,10.55999674,10.91469317,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,29.07552888,29.07179851,64.89463262,64.52932264,62.58734699,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168,66.56067044,66.53078661
9,X2010.8,9,0,2010,35.33641172,21.01944481,0,9.648275347,60.83307542,21.01944481,21.59117126,19.80164511,17.72610026,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,23.39753557,0,1.500462963,0,0,0,0,1.538271605,9.440182648,0.7,5.413724658,35.33641172,34.69356813,33.45536223,31.53129979,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,32.67928237,9.648275347,9.75800077,10.55999674,10.91469317,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,29.07179851,60.83307542,64.89463262,64.52932264,62.58734699,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168,66.53078661
10,X2010.9,10,0,2010,36.38740715,23.03468514,0,8.027286821,61.93006141,23.03468514,21.01944481,21.59117126,19.80164511,17.72610026,17.32044007,16.19685179,18.28532166,20.24460396,16.81553148,0,0,1.500462963,0,0,0,0,1.538271605,9.440182648,0.7,36.38740715,35.33641172,34.69356813,33.45536223,31.53129979,30.60486119,29.68804332,29.49614766,29.72366956,29.30055511,8.027286821,9.648275347,9.75800077,10.55999674,10.91469317,11.41718713,12.50688266,20.07858633,21.55017937,16.89628607,61.93006141,60.83307542,64.89463262,64.52932264,62.58734699,63.15569107,63.20609905,69.88409537,75.43680442,67.87751168
