,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,24.82290999,9.651552032,0,14.41337827,72.05338106,9.651552032,19.99988648,20.00164785,20.00340921,20.01788149,20.03235376,20.0692776,20.10620144,20.13719974,20.10620144,0,8.184455128,8.245202642,8.305950156,8.311204245,8.316458333,8.322490335,8.328522337,8.322490335,8.328522337,24.82290999,30.10163944,30.10508788,30.10853632,30.11378315,30.11902997,30.13165784,30.11902997,30.13165784,30.11902997,14.41337827,42.23263502,42.25252833,42.27242164,42.34265144,42.41288123,42.66155384,42.91022644,42.66155384,42.41288123,72.05338106,87.88831686,87.8967307,87.88831686,87.8967307,87.90514454,87.8967307,87.90514454,87.9058228,87.90650106
2,X2010.1,2,0,2010,23.8754145,9.441781214,0,8.524076474,79.38879956,9.441781214,9.651552032,20.00164785,20.00340921,20.01788149,20.03235376,20.0692776,20.10620144,20.13719974,20.10620144,0,0,8.245202642,8.305950156,8.311204245,8.316458333,8.322490335,8.328522337,8.322490335,8.328522337,23.8754145,24.82290999,30.10508788,30.10853632,30.11378315,30.11902997,30.13165784,30.11902997,30.13165784,30.11902997,8.524076474,14.41337827,42.25252833,42.27242164,42.34265144,42.41288123,42.66155384,42.91022644,42.66155384,42.41288123,79.38879956,72.05338106,87.8967307,87.88831686,87.8967307,87.90514454,87.8967307,87.90514454,87.9058228,87.90650106
3,X2010.2,3,0,2010,25.00740729,10.68984139,0,10.20928265,73.19057278,10.68984139,9.441781214,9.651552032,20.00340921,20.01788149,20.03235376,20.0692776,20.10620144,20.13719974,20.10620144,0,0,0,8.305950156,8.311204245,8.316458333,8.322490335,8.328522337,8.322490335,8.328522337,25.00740729,23.8754145,24.82290999,30.10853632,30.11378315,30.11902997,30.13165784,30.11902997,30.13165784,30.11902997,10.20928265,8.524076474,14.41337827,42.27242164,42.34265144,42.41288123,42.66155384,42.91022644,42.66155384,42.41288123,73.19057278,79.38879956,72.05338106,87.88831686,87.8967307,87.90514454,87.8967307,87.90514454,87.9058228,87.90650106
4,X2010.3,4,0,2010,27.26798938,10.72472659,0,5.891612939,67.03947384,10.72472659,10.68984139,9.441781214,9.651552032,20.01788149,20.03235376,20.0692776,20.10620144,20.13719974,20.10620144,0,0,0,0,8.311204245,8.316458333,8.322490335,8.328522337,8.322490335,8.328522337,27.26798938,25.00740729,23.8754145,24.82290999,30.11378315,30.11902997,30.13165784,30.11902997,30.13165784,30.11902997,5.891612939,10.20928265,8.524076474,14.41337827,42.34265144,42.41288123,42.66155384,42.91022644,42.66155384,42.41288123,67.03947384,73.19057278,79.38879956,72.05338106,87.8967307,87.90514454,87.8967307,87.90514454,87.9058228,87.90650106
5,X2010.4,5,0,2010,25.60423271,10.71583769,0,3.922428099,75.3852328,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,20.03235376,20.0692776,20.10620144,20.13719974,20.10620144,0,0,0,0,0,8.316458333,8.322490335,8.328522337,8.322490335,8.328522337,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,30.11902997,30.13165784,30.11902997,30.13165784,30.11902997,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,42.41288123,42.66155384,42.91022644,42.66155384,42.41288123,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106,87.90514454,87.8967307,87.90514454,87.9058228,87.90650106
6,X2010.5,6,0,2010,26.50631398,10.68493823,0,6.636149078,71.93600474,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,20.0692776,20.10620144,20.13719974,20.10620144,0,0,0,0,0,0,8.322490335,8.328522337,8.322490335,8.328522337,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,30.13165784,30.11902997,30.13165784,30.11902997,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,42.66155384,42.91022644,42.66155384,42.41288123,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106,87.8967307,87.90514454,87.9058228,87.90650106
7,X2010.6,7,0,2010,26.55089944,12.91832456,1.585349462,8.669684153,77.8776988,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,20.10620144,20.13719974,20.10620144,1.585349462,0,0,0,0,0,0,8.328522337,8.322490335,8.328522337,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,30.11902997,30.13165784,30.11902997,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,42.91022644,42.66155384,42.41288123,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106,87.90514454,87.9058228,87.90650106
8,X2010.7,8,0,2010,27.16211637,13.03904761,4.735205993,11.34870924,75.96767111,13.03904761,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,20.13719974,20.10620144,4.735205993,1.585349462,0,0,0,0,0,0,8.322490335,8.328522337,27.16211637,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,30.13165784,30.11902997,11.34870924,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,42.66155384,42.41288123,75.96767111,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106,87.9058228,87.90650106
9,X2010.8,9,0,2010,26.83469139,15.2245855,13.26217544,19.83156071,80.18986834,15.2245855,13.03904761,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,20.10620144,13.26217544,4.735205993,1.585349462,0,0,0,0,0,0,8.328522337,26.83469139,27.16211637,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,30.11902997,19.83156071,11.34870924,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,42.41288123,80.18986834,75.96767111,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106,87.90650106
10,X2010.9,10,0,2010,29.20132279,16.53238087,3.690697674,23.69093409,79.26413893,16.53238087,15.2245855,13.03904761,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,9.651552032,3.690697674,13.26217544,4.735205993,1.585349462,0,0,0,0,0,0,29.20132279,26.83469139,27.16211637,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,24.82290999,23.69093409,19.83156071,11.34870924,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,14.41337827,79.26413893,80.18986834,75.96767111,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956,72.05338106
11,X2010.10,11,0,2010,30.75613769,15.88442683,1.148235294,18.07517404,73.2549723,15.88442683,16.53238087,15.2245855,13.03904761,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,9.441781214,1.148235294,3.690697674,13.26217544,4.735205993,1.585349462,0,0,0,0,0,30.75613769,29.20132279,26.83469139,27.16211637,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,23.8754145,18.07517404,23.69093409,19.83156071,11.34870924,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,8.524076474,73.2549723,79.26413893,80.18986834,75.96767111,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278,79.38879956
12,X2010.11,12,0,2010,31.36700179,18.4596239,16.70964912,30.87192536,74.51578472,18.4596239,15.88442683,16.53238087,15.2245855,13.03904761,12.91832456,10.68493823,10.71583769,10.72472659,10.68984139,16.70964912,1.148235294,3.690697674,13.26217544,4.735205993,1.585349462,0,0,0,0,31.36700179,30.75613769,29.20132279,26.83469139,27.16211637,26.55089944,26.50631398,25.60423271,27.26798938,25.00740729,30.87192536,18.07517404,23.69093409,19.83156071,11.34870924,8.669684153,6.636149078,3.922428099,5.891612939,10.20928265,74.51578472,73.2549723,79.26413893,80.18986834,75.96767111,77.8776988,71.93600474,75.3852328,67.03947384,73.19057278
