,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,23.31822109,9.268167117,0.2,27.66508915,86.65432534,9.268167117,19.61756069,19.64276957,19.66797845,19.67891514,19.68985183,19.69799196,19.70613209,19.72849054,19.70613209,0.2,7.562538941,7.57875211,7.594965278,7.677882299,7.76079932,7.775960408,7.791121495,7.775960408,7.791121495,23.31822109,29.87098383,29.87220752,29.8734312,29.87490294,29.87637468,29.88128032,29.87637468,29.88128032,29.87637468,27.66508915,60.65547026,60.66354551,60.67162076,60.73604971,60.67162076,60.66354551,60.65547026,60.61459121,60.57371215,86.65432534,83.62700149,83.61307879,83.59915608,83.5938898,83.58862352,83.58185775,83.58862352,83.5938898,83.58862352
2,X2010.1,2,0,2010,22.39969,9.07757404,0,20.06846643,84.27668626,9.07757404,9.268167117,19.64276957,19.66797845,19.67891514,19.68985183,19.69799196,19.70613209,19.72849054,19.70613209,0,0.2,7.57875211,7.594965278,7.677882299,7.76079932,7.775960408,7.791121495,7.775960408,7.791121495,22.39969,23.31822109,29.87220752,29.8734312,29.87490294,29.87637468,29.88128032,29.87637468,29.88128032,29.87637468,20.06846643,27.66508915,60.66354551,60.67162076,60.73604971,60.67162076,60.66354551,60.65547026,60.61459121,60.57371215,84.27668626,86.65432534,83.61307879,83.59915608,83.5938898,83.58862352,83.58185775,83.58862352,83.5938898,83.58862352
3,X2010.2,3,0,2010,23.64994612,10.52955531,0,18.42967368,84.73881196,10.52955531,9.07757404,9.268167117,19.66797845,19.67891514,19.68985183,19.69799196,19.70613209,19.72849054,19.70613209,0,0,0.2,7.594965278,7.677882299,7.76079932,7.775960408,7.791121495,7.775960408,7.791121495,23.64994612,22.39969,23.31822109,29.8734312,29.87490294,29.87637468,29.88128032,29.87637468,29.88128032,29.87637468,18.42967368,20.06846643,27.66508915,60.67162076,60.73604971,60.67162076,60.66354551,60.65547026,60.61459121,60.57371215,84.73881196,84.27668626,86.65432534,83.59915608,83.5938898,83.58862352,83.58185775,83.58862352,83.5938898,83.58862352
4,X2010.3,4,0,2010,26.2469001,10.13354446,0.459047619,16.33851191,75.25064565,10.13354446,10.52955531,9.07757404,9.268167117,19.67891514,19.68985183,19.69799196,19.70613209,19.72849054,19.70613209,0.459047619,0,0,0.2,7.677882299,7.76079932,7.775960408,7.791121495,7.775960408,7.791121495,26.2469001,23.64994612,22.39969,23.31822109,29.87490294,29.87637468,29.88128032,29.87637468,29.88128032,29.87637468,16.33851191,18.42967368,20.06846643,27.66508915,60.73604971,60.67162076,60.66354551,60.65547026,60.61459121,60.57371215,75.25064565,84.73881196,84.27668626,86.65432534,83.5938898,83.58862352,83.58185775,83.58862352,83.5938898,83.58862352
5,X2010.4,5,0,2010,24.85871967,9.815768231,0,10.93974107,72.35611049,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,19.68985183,19.69799196,19.70613209,19.72849054,19.70613209,0,0.459047619,0,0,0.2,7.76079932,7.775960408,7.791121495,7.775960408,7.791121495,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,29.87637468,29.88128032,29.87637468,29.88128032,29.87637468,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,60.67162076,60.66354551,60.65547026,60.61459121,60.57371215,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534,83.58862352,83.58185775,83.58862352,83.5938898,83.58862352
6,X2010.5,6,0,2010,25.78935313,10.18327495,0,8.718595148,71.68868453,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,19.69799196,19.70613209,19.72849054,19.70613209,0,0,0.459047619,0,0,0.2,7.775960408,7.791121495,7.775960408,7.791121495,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,29.88128032,29.87637468,29.88128032,29.87637468,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,60.66354551,60.65547026,60.61459121,60.57371215,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534,83.58185775,83.58862352,83.5938898,83.58862352
7,X2010.6,7,0,2010,26.0388545,12.43904312,1.219791667,7.109718783,67.24783575,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,19.70613209,19.72849054,19.70613209,1.219791667,0,0,0.459047619,0,0,0.2,7.791121495,7.775960408,7.791121495,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,29.87637468,29.88128032,29.87637468,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,60.65547026,60.61459121,60.57371215,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534,83.58862352,83.5938898,83.58862352
8,X2010.7,8,0,2010,26.73756055,12.42370626,2.251960784,6.639171756,67.68342771,12.42370626,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,19.72849054,19.70613209,2.251960784,1.219791667,0,0,0.459047619,0,0,0.2,7.775960408,7.791121495,26.73756055,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,29.88128032,29.87637468,6.639171756,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,60.61459121,60.57371215,67.68342771,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534,83.5938898,83.58862352
9,X2010.8,9,0,2010,27.08192728,15.07053912,7.540503876,17.69533559,77.29809478,15.07053912,12.42370626,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,19.70613209,7.540503876,2.251960784,1.219791667,0,0,0.459047619,0,0,0.2,7.791121495,27.08192728,26.73756055,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,29.87637468,17.69533559,6.639171756,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,60.57371215,77.29809478,67.68342771,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534,83.58862352
10,X2010.9,10,0,2010,29.32009429,15.99191365,5.256392694,18.37437029,65.6591503,15.99191365,15.07053912,12.42370626,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,9.268167117,5.256392694,7.540503876,2.251960784,1.219791667,0,0,0.459047619,0,0,0.2,29.32009429,27.08192728,26.73756055,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,23.31822109,18.37437029,17.69533559,6.639171756,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,27.66508915,65.6591503,77.29809478,67.68342771,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626,86.65432534
11,X2010.10,11,0,2010,30.56549867,15.6674663,0.763636364,12.33916655,61.34753869,15.6674663,15.99191365,15.07053912,12.42370626,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,9.07757404,0.763636364,5.256392694,7.540503876,2.251960784,1.219791667,0,0,0.459047619,0,0,30.56549867,29.32009429,27.08192728,26.73756055,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,22.39969,12.33916655,18.37437029,17.69533559,6.639171756,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,20.06846643,61.34753869,65.6591503,77.29809478,67.68342771,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196,84.27668626
12,X2010.11,12,0,2010,31.49233145,18.55137021,6.689670139,18.54841431,62.81412132,18.55137021,15.6674663,15.99191365,15.07053912,12.42370626,12.43904312,10.18327495,9.815768231,10.13354446,10.52955531,6.689670139,0.763636364,5.256392694,7.540503876,2.251960784,1.219791667,0,0,0.459047619,0,31.49233145,30.56549867,29.32009429,27.08192728,26.73756055,26.0388545,25.78935313,24.85871967,26.2469001,23.64994612,18.54841431,12.33916655,18.37437029,17.69533559,6.639171756,7.109718783,8.718595148,10.93974107,16.33851191,18.42967368,62.81412132,61.34753869,65.6591503,77.29809478,67.68342771,67.24783575,71.68868453,72.35611049,75.25064565,84.73881196
