,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,1,0,2010,19.31696282,8.517142881,0,25.0092473,78.02299495,8.517142881,22.24127254,22.24605642,22.25084029,22.26148256,22.27212482,22.28417761,22.2962304,22.30975984,22.32328928,0,4.630952381,4.636605159,4.642257936,4.655690106,4.669122276,4.685041907,4.700961538,4.728527436,4.756093333,19.31696282,32.67876327,32.68247888,32.68619448,32.69905904,32.71192359,32.72632734,32.74073109,32.74315654,32.74558199,25.0092473,43.61013413,43.58653975,43.56294537,43.54876503,43.53458468,43.30800756,43.08143043,42.99946435,42.91749827,78.02299495,70.84398618,70.82101107,70.79803596,70.76401739,70.72999881,70.7024575,70.72999881,70.76401739,70.79803596
2,2,0,2010,19.32558219,8.223925526,0.706849315,29.40668551,73.68230972,8.223925526,8.517142881,22.24605642,22.25084029,22.26148256,22.27212482,22.28417761,22.2962304,22.30975984,22.32328928,0.706849315,0,4.636605159,4.642257936,4.655690106,4.669122276,4.685041907,4.700961538,4.728527436,4.756093333,19.32558219,19.31696282,32.68247888,32.68619448,32.69905904,32.71192359,32.72632734,32.74073109,32.74315654,32.74558199,29.40668551,25.0092473,43.58653975,43.56294537,43.54876503,43.53458468,43.30800756,43.08143043,42.99946435,42.91749827,73.68230972,78.02299495,70.82101107,70.79803596,70.76401739,70.72999881,70.7024575,70.72999881,70.76401739,70.79803596
3,3,0,2010,17.72132056,8.558451426,0.1625,24.92836952,73.77732291,8.558451426,8.223925526,8.517142881,22.25084029,22.26148256,22.27212482,22.28417761,22.2962304,22.30975984,22.32328928,0.1625,0.706849315,0,4.642257936,4.655690106,4.669122276,4.685041907,4.700961538,4.728527436,4.756093333,17.72132056,19.32558219,19.31696282,32.68619448,32.69905904,32.71192359,32.72632734,32.74073109,32.74315654,32.74558199,24.92836952,29.40668551,25.0092473,43.56294537,43.54876503,43.53458468,43.30800756,43.08143043,42.99946435,42.91749827,73.77732291,73.68230972,78.02299495,70.79803596,70.76401739,70.72999881,70.7024575,70.72999881,70.76401739,70.79803596
4,4,0,2010,22.22201684,7.545978418,0,25.22551918,65.90913102,7.545978418,8.558451426,8.223925526,8.517142881,22.26148256,22.27212482,22.28417761,22.2962304,22.30975984,22.32328928,0,0.1625,0.706849315,0,4.655690106,4.669122276,4.685041907,4.700961538,4.728527436,4.756093333,22.22201684,17.72132056,19.32558219,19.31696282,32.69905904,32.71192359,32.72632734,32.74073109,32.74315654,32.74558199,25.22551918,24.92836952,29.40668551,25.0092473,43.54876503,43.53458468,43.30800756,43.08143043,42.99946435,42.91749827,65.90913102,73.77732291,73.68230972,78.02299495,70.76401739,70.72999881,70.7024575,70.72999881,70.76401739,70.79803596
5,5,0,2010,25.96522203,9.659939956,0,21.41166573,51.51609421,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,22.27212482,22.28417761,22.2962304,22.30975984,22.32328928,0,0,0.1625,0.706849315,0,4.669122276,4.685041907,4.700961538,4.728527436,4.756093333,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,32.71192359,32.72632734,32.74073109,32.74315654,32.74558199,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,43.53458468,43.30800756,43.08143043,42.99946435,42.91749827,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495,70.72999881,70.7024575,70.72999881,70.76401739,70.79803596
6,6,0,2010,26.52129646,11.60248499,2.659375,23.41948319,57.90656709,11.60248499,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,22.28417761,22.2962304,22.30975984,22.32328928,2.659375,0,0,0.1625,0.706849315,0,4.685041907,4.700961538,4.728527436,4.756093333,26.52129646,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,32.72632734,32.74073109,32.74315654,32.74558199,23.41948319,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,43.30800756,43.08143043,42.99946435,42.91749827,57.90656709,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495,70.7024575,70.72999881,70.76401739,70.79803596
7,7,0,2010,26.46266494,13.28767101,0.975833333,20.05201292,52.32214073,13.28767101,11.60248499,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,22.2962304,22.30975984,22.32328928,0.975833333,2.659375,0,0,0.1625,0.706849315,0,4.700961538,4.728527436,4.756093333,26.46266494,26.52129646,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,32.74073109,32.74315654,32.74558199,20.05201292,23.41948319,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,43.08143043,42.99946435,42.91749827,52.32214073,57.90656709,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495,70.72999881,70.76401739,70.79803596
8,8,0,2010,28.34274914,12.47719085,0.48,16.07332277,49.53254679,12.47719085,13.28767101,11.60248499,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,22.30975984,22.32328928,0.48,0.975833333,2.659375,0,0,0.1625,0.706849315,0,4.728527436,4.756093333,28.34274914,26.46266494,26.52129646,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,32.74315654,32.74558199,16.07332277,20.05201292,23.41948319,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,42.99946435,42.91749827,49.53254679,52.32214073,57.90656709,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495,70.76401739,70.79803596
9,9,0,2010,31.68156063,16.11075629,0.3,12.57472134,44.05578944,16.11075629,12.47719085,13.28767101,11.60248499,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,22.32328928,0.3,0.48,0.975833333,2.659375,0,0,0.1625,0.706849315,0,4.756093333,31.68156063,28.34274914,26.46266494,26.52129646,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,32.74558199,12.57472134,16.07332277,20.05201292,23.41948319,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,42.91749827,44.05578944,49.53254679,52.32214073,57.90656709,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495,70.79803596
10,10,0,2010,32.17867949,16.35583425,0,8.214963278,31.40195956,16.35583425,16.11075629,12.47719085,13.28767101,11.60248499,9.659939956,7.545978418,8.558451426,8.223925526,8.517142881,0,0.3,0.48,0.975833333,2.659375,0,0,0.1625,0.706849315,0,32.17867949,31.68156063,28.34274914,26.46266494,26.52129646,25.96522203,22.22201684,17.72132056,19.32558219,19.31696282,8.214963278,12.57472134,16.07332277,20.05201292,23.41948319,21.41166573,25.22551918,24.92836952,29.40668551,25.0092473,31.40195956,44.05578944,49.53254679,52.32214073,57.90656709,51.51609421,65.90913102,73.77732291,73.68230972,78.02299495
