,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,21.59182614,8.112956537,0,22.57655654,71.03044441,8.112956537,22.01144096,22.10818012,22.20491928,22.24437265,22.28382601,22.2954286,22.30703118,22.39098146,22.47493173,0,4.368965517,4.369593201,4.370220884,4.374410757,4.378600629,4.390235689,4.401870748,4.403033075,4.404195402,21.59182614,31.99157764,31.993559,31.99554035,32.00037271,32.00520506,32.00744732,32.00968958,32.01493177,32.02017396,22.57655654,44.04335711,44.02495189,44.00654666,43.71018953,43.4138324,43.32666517,43.23949793,43.0209838,42.80246967,71.03044441,68.80401166,68.82477147,68.80401166,68.7674758,68.73093994,68.729443,68.72794606,68.729443,68.73093994
2,X2010.1,2,0,2010,22.511267,9.696770217,0.373684211,22.37010964,68.03791797,9.696770217,8.112956537,22.10818012,22.20491928,22.24437265,22.28382601,22.2954286,22.30703118,22.39098146,22.47493173,0.373684211,0,4.369593201,4.370220884,4.374410757,4.378600629,4.390235689,4.401870748,4.403033075,4.404195402,22.511267,21.59182614,31.993559,31.99554035,32.00037271,32.00520506,32.00744732,32.00968958,32.01493177,32.02017396,22.37010964,22.57655654,44.02495189,44.00654666,43.71018953,43.4138324,43.32666517,43.23949793,43.0209838,42.80246967,68.03791797,71.03044441,68.82477147,68.80401166,68.7674758,68.73093994,68.729443,68.72794606,68.729443,68.73093994
3,X2010.2,3,0,2010,21.32645962,8.969937883,0,21.20704025,69.61540814,8.969937883,9.696770217,8.112956537,22.20491928,22.24437265,22.28382601,22.2954286,22.30703118,22.39098146,22.47493173,0,0.373684211,0,4.370220884,4.374410757,4.378600629,4.390235689,4.401870748,4.403033075,4.404195402,21.32645962,22.511267,21.59182614,31.99554035,32.00037271,32.00520506,32.00744732,32.00968958,32.01493177,32.02017396,21.20704025,22.37010964,22.57655654,44.00654666,43.71018953,43.4138324,43.32666517,43.23949793,43.0209838,42.80246967,69.61540814,68.03791797,71.03044441,68.80401166,68.7674758,68.73093994,68.729443,68.72794606,68.729443,68.73093994
4,X2010.3,4,0,2010,25.09894408,8.365354026,0,18.5146012,57.71749924,8.365354026,8.969937883,9.696770217,8.112956537,22.24437265,22.28382601,22.2954286,22.30703118,22.39098146,22.47493173,0,0,0.373684211,0,4.374410757,4.378600629,4.390235689,4.401870748,4.403033075,4.404195402,25.09894408,21.32645962,22.511267,21.59182614,32.00037271,32.00520506,32.00744732,32.00968958,32.01493177,32.02017396,18.5146012,21.20704025,22.37010964,22.57655654,43.71018953,43.4138324,43.32666517,43.23949793,43.0209838,42.80246967,57.71749924,69.61540814,68.03791797,71.03044441,68.7674758,68.73093994,68.729443,68.72794606,68.729443,68.73093994
5,X2010.4,5,0,2010,27.11792551,10.28202485,0,15.99523814,52.05063964,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,22.28382601,22.2954286,22.30703118,22.39098146,22.47493173,0,0,0,0.373684211,0,4.378600629,4.390235689,4.401870748,4.403033075,4.404195402,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,32.00520506,32.00744732,32.00968958,32.01493177,32.02017396,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,43.4138324,43.32666517,43.23949793,43.0209838,42.80246967,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441,68.73093994,68.729443,68.72794606,68.729443,68.73093994
6,X2010.5,6,0,2010,28.20181366,12.46054657,0.431428571,16.41010132,54.45405346,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,22.2954286,22.30703118,22.39098146,22.47493173,0.431428571,0,0,0,0.373684211,0,4.390235689,4.401870748,4.403033075,4.404195402,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,32.00744732,32.00968958,32.01493177,32.02017396,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,43.32666517,43.23949793,43.0209838,42.80246967,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441,68.729443,68.72794606,68.729443,68.73093994
7,X2010.6,7,0,2010,28.45268318,15.0588199,2.48536036,17.63182378,59.72083162,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,22.30703118,22.39098146,22.47493173,2.48536036,0.431428571,0,0,0,0.373684211,0,4.401870748,4.403033075,4.404195402,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,32.00968958,32.01493177,32.02017396,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,43.23949793,43.0209838,42.80246967,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441,68.72794606,68.729443,68.73093994
8,X2010.7,8,0,2010,29.90796277,13.79257141,0.751515152,11.93964418,49.47573409,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,22.39098146,22.47493173,0.751515152,2.48536036,0.431428571,0,0,0,0.373684211,0,4.403033075,4.404195402,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,32.01493177,32.02017396,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,43.0209838,42.80246967,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441,68.729443,68.73093994
9,X2010.8,9,0,2010,33.64504335,16.80650929,0,9.93647192,38.78807011,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,22.47493173,0,0.751515152,2.48536036,0.431428571,0,0,0,0.373684211,0,4.404195402,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,32.02017396,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,42.80246967,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441,68.73093994
10,X2010.9,10,0,2010,33.71349061,18.17961485,0,8.656808992,36.4313342,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,8.112956537,0,0,0.751515152,2.48536036,0.431428571,0,0,0,0.373684211,0,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,21.59182614,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,22.57655654,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797,71.03044441
11,X2010.10,11,0,2010,35.05370179,19.00895647,2.043292683,7.358841827,38.51935917,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,9.696770217,2.043292683,0,0,0.751515152,2.48536036,0.431428571,0,0,0,0.373684211,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,22.511267,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,22.37010964,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814,68.03791797
12,X2010.11,12,0,2010,38.43457153,21.04822365,0.1,6.168687721,30.6637572,21.04822365,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,8.969937883,0.1,2.043292683,0,0,0.751515152,2.48536036,0.431428571,0,0,0,38.43457153,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,21.32645962,6.168687721,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,21.20704025,30.6637572,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924,69.61540814
13,X2010.12,13,0,2010,38.74619876,22.84188818,1.930357143,3.303676272,29.74190103,22.84188818,21.04822365,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,8.365354026,1.930357143,0.1,2.043292683,0,0,0.751515152,2.48536036,0.431428571,0,0,38.74619876,38.43457153,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,25.09894408,3.303676272,6.168687721,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,18.5146012,29.74190103,30.6637572,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964,57.71749924
14,X2010.13,14,0,2010,40.26151543,23.02783846,0,2.954431766,22.4042913,23.02783846,22.84188818,21.04822365,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,10.28202485,0,1.930357143,0.1,2.043292683,0,0,0.751515152,2.48536036,0.431428571,0,40.26151543,38.74619876,38.43457153,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,27.11792551,2.954431766,3.303676272,6.168687721,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,15.99523814,22.4042913,29.74190103,30.6637572,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346,52.05063964
15,X2010.14,15,0,2010,41.28387582,24.15079509,1.3,3.347778183,28.79697889,24.15079509,23.02783846,22.84188818,21.04822365,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,12.46054657,1.3,0,1.930357143,0.1,2.043292683,0,0,0.751515152,2.48536036,0.431428571,41.28387582,40.26151543,38.74619876,38.43457153,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,28.20181366,3.347778183,2.954431766,3.303676272,6.168687721,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,16.41010132,28.79697889,22.4042913,29.74190103,30.6637572,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162,54.45405346
16,X2010.15,16,0,2010,41.30740369,25.65797512,0.681785714,3.222218012,30.44314979,25.65797512,24.15079509,23.02783846,22.84188818,21.04822365,19.00895647,18.17961485,16.80650929,13.79257141,15.0588199,0.681785714,1.3,0,1.930357143,0.1,2.043292683,0,0,0.751515152,2.48536036,41.30740369,41.28387582,40.26151543,38.74619876,38.43457153,35.05370179,33.71349061,33.64504335,29.90796277,28.45268318,3.222218012,3.347778183,2.954431766,3.303676272,6.168687721,7.358841827,8.656808992,9.93647192,11.93964418,17.63182378,30.44314979,28.79697889,22.4042913,29.74190103,30.6637572,38.51935917,36.4313342,38.78807011,49.47573409,59.72083162
