,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,29.87638489,16.32044314,7.425433526,26.05692132,58.69624364,16.32044314,20.86293294,20.86331193,20.86369092,20.86651016,20.8693294,20.87154227,20.87375514,20.87509903,20.87644291,7.425433526,5.340672389,5.346938796,5.353205202,5.35682643,5.360447658,5.362346161,5.364244663,5.362346161,5.364244663,29.87638489,30.57686296,30.58921278,30.6015626,30.60528569,30.60900877,30.60528569,30.60900877,30.60528569,30.6015626,26.05692132,38.58341184,38.50672644,38.43004103,38.41688592,38.40373081,38.29169307,38.17965532,38.13561143,38.09156754,58.69624364,64.44578947,64.44434011,64.44289075,64.41227315,64.38165555,64.35543838,64.3292212,64.32717504,64.32512888
2,X2010.1,2,0,2010,29.83661811,18.67480474,7.724908136,23.96906005,70.68529581,18.67480474,16.32044314,20.86331193,20.86369092,20.86651016,20.8693294,20.87154227,20.87375514,20.87509903,20.87644291,7.724908136,7.425433526,5.346938796,5.353205202,5.35682643,5.360447658,5.362346161,5.364244663,5.362346161,5.364244663,29.83661811,29.87638489,30.58921278,30.6015626,30.60528569,30.60900877,30.60528569,30.60900877,30.60528569,30.6015626,23.96906005,26.05692132,38.50672644,38.43004103,38.41688592,38.40373081,38.29169307,38.17965532,38.13561143,38.09156754,70.68529581,58.69624364,64.44434011,64.44289075,64.41227315,64.38165555,64.35543838,64.3292212,64.32717504,64.32512888
3,X2010.2,3,0,2010,29.9365597,17.12952189,6.920114943,19.24819954,60.38474962,17.12952189,18.67480474,16.32044314,20.86369092,20.86651016,20.8693294,20.87154227,20.87375514,20.87509903,20.87644291,6.920114943,7.724908136,7.425433526,5.353205202,5.35682643,5.360447658,5.362346161,5.364244663,5.362346161,5.364244663,29.9365597,29.83661811,29.87638489,30.6015626,30.60528569,30.60900877,30.60528569,30.60900877,30.60528569,30.6015626,19.24819954,23.96906005,26.05692132,38.43004103,38.41688592,38.40373081,38.29169307,38.17965532,38.13561143,38.09156754,60.38474962,70.68529581,58.69624364,64.44289075,64.41227315,64.38165555,64.35543838,64.3292212,64.32717504,64.32512888
4,X2010.3,4,0,2010,29.77019828,14.84518366,0,14.97359669,52.73068447,14.84518366,17.12952189,18.67480474,16.32044314,20.86651016,20.8693294,20.87154227,20.87375514,20.87509903,20.87644291,0,6.920114943,7.724908136,7.425433526,5.35682643,5.360447658,5.362346161,5.364244663,5.362346161,5.364244663,29.77019828,29.9365597,29.83661811,29.87638489,30.60528569,30.60900877,30.60528569,30.60900877,30.60528569,30.6015626,14.97359669,19.24819954,23.96906005,26.05692132,38.41688592,38.40373081,38.29169307,38.17965532,38.13561143,38.09156754,52.73068447,60.38474962,70.68529581,58.69624364,64.41227315,64.38165555,64.35543838,64.3292212,64.32717504,64.32512888
5,X2010.4,5,0,2010,30.80868225,16.42655972,0,13.95604844,48.8165706,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,20.8693294,20.87154227,20.87375514,20.87509903,20.87644291,0,0,6.920114943,7.724908136,7.425433526,5.360447658,5.362346161,5.364244663,5.362346161,5.364244663,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,30.60900877,30.60528569,30.60900877,30.60528569,30.6015626,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,38.40373081,38.29169307,38.17965532,38.13561143,38.09156754,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364,64.38165555,64.35543838,64.3292212,64.32717504,64.32512888
6,X2010.5,6,0,2010,31.53869385,16.36613402,0,13.37185429,47.64008534,16.36613402,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,20.87154227,20.87375514,20.87509903,20.87644291,0,0,0,6.920114943,7.724908136,7.425433526,5.362346161,5.364244663,5.362346161,5.364244663,31.53869385,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,30.60528569,30.60900877,30.60528569,30.6015626,13.37185429,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,38.29169307,38.17965532,38.13561143,38.09156754,47.64008534,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364,64.35543838,64.3292212,64.32717504,64.32512888
7,X2010.6,7,0,2010,33.64765,18.77862975,2.1078125,13.64301612,51.39108614,18.77862975,16.36613402,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,20.87375514,20.87509903,20.87644291,2.1078125,0,0,0,6.920114943,7.724908136,7.425433526,5.364244663,5.362346161,5.364244663,33.64765,31.53869385,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,30.60900877,30.60528569,30.6015626,13.64301612,13.37185429,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,38.17965532,38.13561143,38.09156754,51.39108614,47.64008534,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364,64.3292212,64.32717504,64.32512888
8,X2010.7,8,0,2010,34.17633824,19.57918372,1.698148148,11.99300124,46.9390082,19.57918372,18.77862975,16.36613402,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,20.87509903,20.87644291,1.698148148,2.1078125,0,0,0,6.920114943,7.724908136,7.425433526,5.362346161,5.364244663,34.17633824,33.64765,31.53869385,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,30.60528569,30.6015626,11.99300124,13.64301612,13.37185429,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,38.13561143,38.09156754,46.9390082,51.39108614,47.64008534,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364,64.32717504,64.32512888
9,X2010.8,9,0,2010,34.44756851,19.15700862,0.275,10.14842018,41.75558208,19.15700862,19.57918372,18.77862975,16.36613402,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,20.87644291,0.275,1.698148148,2.1078125,0,0,0,6.920114943,7.724908136,7.425433526,5.364244663,34.44756851,34.17633824,33.64765,31.53869385,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,30.6015626,10.14842018,11.99300124,13.64301612,13.37185429,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,38.09156754,41.75558208,46.9390082,51.39108614,47.64008534,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364,64.32512888
10,X2010.9,10,10,2010,35.31613437,20.85714869,0,8.613824167,40.728556,20.85714869,19.15700862,19.57918372,18.77862975,16.36613402,16.42655972,14.84518366,17.12952189,18.67480474,16.32044314,0,0.275,1.698148148,2.1078125,0,0,0,6.920114943,7.724908136,7.425433526,35.31613437,34.44756851,34.17633824,33.64765,31.53869385,30.80868225,29.77019828,29.9365597,29.83661811,29.87638489,8.613824167,10.14842018,11.99300124,13.64301612,13.37185429,13.95604844,14.97359669,19.24819954,23.96906005,26.05692132,40.728556,41.75558208,46.9390082,51.39108614,47.64008534,48.8165706,52.73068447,60.38474962,70.68529581,58.69624364
