,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,29.96960729,19.46221441,12.6,24.82931109,76.13372418,19.46221441,21.81232156,21.81308932,21.81385708,21.81558926,21.81732144,21.81819642,21.81732144,21.81558926,21.81385708,12.6,7.338608059,7.353449863,7.368291667,7.376759705,7.385227743,7.376759705,7.368291667,7.376759705,7.385227743,29.96960729,30.20053576,30.20219644,30.20385711,30.20412499,30.20439286,30.21295716,30.22152145,30.21295716,30.20439286,24.82931109,46.73937489,46.77937194,46.73937489,46.69847694,46.65757899,46.61782046,46.57806193,46.51617288,46.45428383,76.13372418,81.63999072,81.64936651,81.65874229,81.64936651,81.65874229,81.71349084,81.65874229,81.64936651,81.63999072
2,X2010.1,2,0,2010,29.79810732,21.07192864,5.299869281,21.08234845,83.40625091,21.07192864,19.46221441,21.81308932,21.81385708,21.81558926,21.81732144,21.81819642,21.81732144,21.81558926,21.81385708,5.299869281,12.6,7.353449863,7.368291667,7.376759705,7.385227743,7.376759705,7.368291667,7.376759705,7.385227743,29.79810732,29.96960729,30.20219644,30.20385711,30.20412499,30.20439286,30.21295716,30.22152145,30.21295716,30.20439286,21.08234845,24.82931109,46.77937194,46.73937489,46.69847694,46.65757899,46.61782046,46.57806193,46.51617288,46.45428383,83.40625091,76.13372418,81.64936651,81.65874229,81.64936651,81.65874229,81.71349084,81.65874229,81.64936651,81.63999072
3,X2010.2,3,0,2010,30.10267835,19.76650031,1.410416667,13.63830213,73.34664813,19.76650031,21.07192864,19.46221441,21.81385708,21.81558926,21.81732144,21.81819642,21.81732144,21.81558926,21.81385708,1.410416667,5.299869281,12.6,7.368291667,7.376759705,7.385227743,7.376759705,7.368291667,7.376759705,7.385227743,30.10267835,29.79810732,29.96960729,30.20385711,30.20412499,30.20439286,30.21295716,30.22152145,30.21295716,30.20439286,13.63830213,21.08234845,24.82931109,46.73937489,46.69847694,46.65757899,46.61782046,46.57806193,46.51617288,46.45428383,73.34664813,83.40625091,76.13372418,81.65874229,81.64936651,81.65874229,81.71349084,81.65874229,81.64936651,81.63999072
4,X2010.3,4,0,2010,30.23439285,18.91728553,0,10.64902987,70.00521736,18.91728553,19.76650031,21.07192864,19.46221441,21.81558926,21.81732144,21.81819642,21.81732144,21.81558926,21.81385708,0,1.410416667,5.299869281,12.6,7.376759705,7.385227743,7.376759705,7.368291667,7.376759705,7.385227743,30.23439285,30.10267835,29.79810732,29.96960729,30.20412499,30.20439286,30.21295716,30.22152145,30.21295716,30.20439286,10.64902987,13.63830213,21.08234845,24.82931109,46.69847694,46.65757899,46.61782046,46.57806193,46.51617288,46.45428383,70.00521736,73.34664813,83.40625091,76.13372418,81.64936651,81.65874229,81.71349084,81.65874229,81.64936651,81.63999072
5,X2010.4,5,0,2010,30.73889288,19.51900006,0,6.824742488,65.69932791,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,21.81732144,21.81819642,21.81732144,21.81558926,21.81385708,0,0,1.410416667,5.299869281,12.6,7.385227743,7.376759705,7.368291667,7.376759705,7.385227743,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,30.20439286,30.21295716,30.22152145,30.21295716,30.20439286,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,46.65757899,46.61782046,46.57806193,46.51617288,46.45428383,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418,81.65874229,81.71349084,81.65874229,81.64936651,81.63999072
6,X2010.5,6,0,2010,30.87710703,19.20060705,0.2,6.93951518,63.24855775,19.20060705,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,21.81819642,21.81732144,21.81558926,21.81385708,0.2,0,0,1.410416667,5.299869281,12.6,7.376759705,7.368291667,7.376759705,7.385227743,30.87710703,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,30.21295716,30.22152145,30.21295716,30.20439286,6.93951518,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,46.61782046,46.57806193,46.51617288,46.45428383,63.24855775,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418,81.71349084,81.65874229,81.64936651,81.63999072
7,X2010.6,7,0,2010,32.13653582,21.21800002,0.733333333,7.195963962,68.27089958,21.21800002,19.20060705,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,21.81732144,21.81558926,21.81385708,0.733333333,0.2,0,0,1.410416667,5.299869281,12.6,7.368291667,7.376759705,7.385227743,32.13653582,30.87710703,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,30.22152145,30.21295716,30.20439286,7.195963962,6.93951518,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,46.57806193,46.51617288,46.45428383,68.27089958,63.24855775,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418,81.65874229,81.64936651,81.63999072
8,X2010.7,8,0,2010,32.58264303,21.70092851,2.7,7.570724028,65.16491803,21.70092851,21.21800002,19.20060705,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,21.81558926,21.81385708,2.7,0.733333333,0.2,0,0,1.410416667,5.299869281,12.6,7.376759705,7.385227743,32.58264303,32.13653582,30.87710703,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,30.21295716,30.20439286,7.570724028,7.195963962,6.93951518,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,46.51617288,46.45428383,65.16491803,68.27089958,63.24855775,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418,81.64936651,81.63999072
9,X2010.8,9,0,2010,32.77182171,21.22425,1.28,7.115516176,62.58141652,21.22425,21.70092851,21.21800002,19.20060705,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,21.81385708,1.28,2.7,0.733333333,0.2,0,0,1.410416667,5.299869281,12.6,7.385227743,32.77182171,32.58264303,32.13653582,30.87710703,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,30.20439286,7.115516176,7.570724028,7.195963962,6.93951518,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,46.45428383,62.58141652,65.16491803,68.27089958,63.24855775,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418,81.63999072
10,X2010.9,10,0,2010,33.41099967,22.78428559,1.9375,7.389043814,61.78035885,22.78428559,21.22425,21.70092851,21.21800002,19.20060705,19.51900006,18.91728553,19.76650031,21.07192864,19.46221441,1.9375,1.28,2.7,0.733333333,0.2,0,0,1.410416667,5.299869281,12.6,33.41099967,32.77182171,32.58264303,32.13653582,30.87710703,30.73889288,30.23439285,30.10267835,29.79810732,29.96960729,7.389043814,7.115516176,7.570724028,7.195963962,6.93951518,6.824742488,10.64902987,13.63830213,21.08234845,24.82931109,61.78035885,62.58141652,65.16491803,68.27089958,63.24855775,65.69932791,70.00521736,73.34664813,83.40625091,76.13372418
