,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010.1,1,0,2010,23.47011086,8.220029346,1.330769231,27.06631358,60.5714354,8.220029346,21.37269083,21.38010603,21.38752122,21.40933462,21.43114801,21.46218036,21.49321271,21.52146775,21.54972278,1.330769231,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,23.47011086,31.77289952,31.77324684,31.77359416,31.79248851,31.81138285,31.81941288,31.82744291,31.83249186,31.82744291,27.06631358,33.53421266,33.49266106,33.45110945,33.4143698,33.37763015,33.25789237,33.13815458,33.10738661,33.07661863,60.5714354,54.8999755,54.85341002,54.80684454,54.65843821,54.51003187,54.47844108,54.44685029,54.47844108,54.51003187
2,X2010.2,2,0,2010,22.90807234,9.11067516,2.066339869,23.88051147,65.84190109,9.11067516,8.220029346,21.38010603,21.38752122,21.40933462,21.43114801,21.46218036,21.49321271,21.52146775,21.54972278,2.066339869,1.330769231,2.922657899,2.898887226,2.922657899,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,22.90807234,23.47011086,31.77324684,31.77359416,31.79248851,31.81138285,31.81941288,31.82744291,31.83249186,31.82744291,23.88051147,27.06631358,33.49266106,33.45110945,33.4143698,33.37763015,33.25789237,33.13815458,33.10738661,33.07661863,65.84190109,60.5714354,54.85341002,54.80684454,54.65843821,54.51003187,54.47844108,54.44685029,54.47844108,54.51003187
3,X2010.3,3,0,2010,23.72762234,7.325759965,0,20.82410419,60.7563942,7.325759965,9.11067516,8.220029346,21.38752122,21.40933462,21.43114801,21.46218036,21.49321271,21.52146775,21.54972278,0,2.066339869,1.330769231,2.898887226,2.922657899,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,23.72762234,22.90807234,23.47011086,31.77359416,31.79248851,31.81138285,31.81941288,31.82744291,31.83249186,31.82744291,20.82410419,23.88051147,27.06631358,33.45110945,33.4143698,33.37763015,33.25789237,33.13815458,33.10738661,33.07661863,60.7563942,65.84190109,60.5714354,54.80684454,54.65843821,54.51003187,54.47844108,54.44685029,54.47844108,54.51003187
4,X2010.4,4,0,2010,27.05427266,9.093773639,0,18.01877591,47.61981402,9.093773639,7.325759965,9.11067516,8.220029346,21.40933462,21.43114801,21.46218036,21.49321271,21.52146775,21.54972278,0,0,2.066339869,1.330769231,2.922657899,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,27.05427266,23.72762234,22.90807234,23.47011086,31.79248851,31.81138285,31.81941288,31.82744291,31.83249186,31.82744291,18.01877591,20.82410419,23.88051147,27.06631358,33.4143698,33.37763015,33.25789237,33.13815458,33.10738661,33.07661863,47.61981402,60.7563942,65.84190109,60.5714354,54.65843821,54.51003187,54.47844108,54.44685029,54.47844108,54.51003187
5,X2010.5,5,0,2010,27.59573713,11.33789955,2.168378378,16.99665892,48.06207923,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,21.43114801,21.46218036,21.49321271,21.52146775,21.54972278,2.168378378,0,0,2.066339869,1.330769231,2.946428571,2.922657899,2.898887226,2.922657899,2.946428571,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,31.81138285,31.81941288,31.82744291,31.83249186,31.82744291,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,33.37763015,33.25789237,33.13815458,33.10738661,33.07661863,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354,54.51003187,54.47844108,54.44685029,54.47844108,54.51003187
6,X2010.6,6,0,2010,28.57134702,13.17543703,1.8700409,18.44109791,47.49766649,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,21.46218036,21.49321271,21.52146775,21.54972278,1.8700409,2.168378378,0,0,2.066339869,1.330769231,2.922657899,2.898887226,2.922657899,2.946428571,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,31.81941288,31.82744291,31.83249186,31.82744291,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,33.25789237,33.13815458,33.10738661,33.07661863,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354,54.47844108,54.44685029,54.47844108,54.51003187
7,X2010.7,7,0,2010,28.04389759,13.66713305,5.736470588,21.59505662,52.676925,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,21.49321271,21.52146775,21.54972278,5.736470588,1.8700409,2.168378378,0,0,2.066339869,1.330769231,2.898887226,2.922657899,2.946428571,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,31.82744291,31.83249186,31.82744291,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,33.13815458,33.10738661,33.07661863,52.676925,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354,54.44685029,54.47844108,54.51003187
8,X2010.8,8,0,2010,30.74155902,12.92450749,1.108435583,14.83584169,41.29184812,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,21.52146775,21.54972278,1.108435583,5.736470588,1.8700409,2.168378378,0,0,2.066339869,1.330769231,2.922657899,2.946428571,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,31.83249186,31.82744291,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,33.10738661,33.07661863,41.29184812,52.676925,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354,54.47844108,54.51003187
9,X2010.9,9,0,2010,34.1480072,15.70272669,0,12.96295507,32.66343438,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,21.54972278,0,1.108435583,5.736470588,1.8700409,2.168378378,0,0,2.066339869,1.330769231,2.946428571,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,31.82744291,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,33.07661863,32.66343438,41.29184812,52.676925,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354,54.51003187
10,X2010.10,10,0,2010,33.25860082,16.95006524,2.1,9.961027221,34.69551637,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,8.220029346,2.1,0,1.108435583,5.736470588,1.8700409,2.168378378,0,0,2.066339869,1.330769231,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,23.47011086,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,27.06631358,34.69551637,32.66343438,41.29184812,52.676925,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109,60.5714354
11,X2010.11,11,0,2010,36.73369868,17.99248534,1.44625,8.157301113,28.84461342,17.99248534,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,9.11067516,1.44625,2.1,0,1.108435583,5.736470588,1.8700409,2.168378378,0,0,2.066339869,36.73369868,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,22.90807234,8.157301113,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,23.88051147,28.84461342,34.69551637,32.66343438,41.29184812,52.676925,47.49766649,48.06207923,47.61981402,60.7563942,65.84190109
12,X2010.12,12,0,2010,39.03614478,20.20264506,0,4.916625706,24.35571654,20.20264506,17.99248534,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,7.325759965,0,1.44625,2.1,0,1.108435583,5.736470588,1.8700409,2.168378378,0,0,39.03614478,36.73369868,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,23.72762234,4.916625706,8.157301113,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.82410419,24.35571654,28.84461342,34.69551637,32.66343438,41.29184812,52.676925,47.49766649,48.06207923,47.61981402,60.7563942
13,X2010.13,13,0,2010,38.9104273,21.75325502,0,3.469496962,20.90445463,21.75325502,20.20264506,17.99248534,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,9.093773639,0,0,1.44625,2.1,0,1.108435583,5.736470588,1.8700409,2.168378378,0,38.9104273,39.03614478,36.73369868,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,27.05427266,3.469496962,4.916625706,8.157301113,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,18.01877591,20.90445463,24.35571654,28.84461342,34.69551637,32.66343438,41.29184812,52.676925,47.49766649,48.06207923,47.61981402
14,X2010.14,14,0,2010,39.88859749,21.68142856,0,3.141565122,19.5457499,21.68142856,21.75325502,20.20264506,17.99248534,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,11.33789955,0,0,0,1.44625,2.1,0,1.108435583,5.736470588,1.8700409,2.168378378,39.88859749,38.9104273,39.03614478,36.73369868,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,27.59573713,3.141565122,3.469496962,4.916625706,8.157301113,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,16.99665892,19.5457499,20.90445463,24.35571654,28.84461342,34.69551637,32.66343438,41.29184812,52.676925,47.49766649,48.06207923
15,X2010.15,15,0,2010,41.76056431,23.88100129,0,4.060862637,19.03431144,23.88100129,21.68142856,21.75325502,20.20264506,17.99248534,16.95006524,15.70272669,12.92450749,13.66713305,13.17543703,0,0,0,0,1.44625,2.1,0,1.108435583,5.736470588,1.8700409,41.76056431,39.88859749,38.9104273,39.03614478,36.73369868,33.25860082,34.1480072,30.74155902,28.04389759,28.57134702,4.060862637,3.141565122,3.469496962,4.916625706,8.157301113,9.961027221,12.96295507,14.83584169,21.59505662,18.44109791,19.03431144,19.5457499,20.90445463,24.35571654,28.84461342,34.69551637,32.66343438,41.29184812,52.676925,47.49766649
