,Var.1,year,week,code,maxt,mint,rain,soil,rh,cases,cases_cat,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,1,2010,1,1000,29.12352567,13.94877903,0.254545455,24.42048906,53.68979877,0,0,13.94877903,20.25423627,20.26444231,20.26919871,20.27885181,20.28429831,20.28772587,20.29308538,20.30138821,20.30432804,0.254545455,6.560328092,6.560328092,6.566585195,6.566585195,6.577994317,6.586711346,6.600356579,6.614032555,6.625228913,29.12352567,33.01807773,33.02483948,33.03101787,33.03344992,33.03887915,33.04180631,33.04348263,33.04618878,33.04769986,24.42048906,39.62141288,39.61527324,39.60338915,39.5957243,39.58301256,39.56424713,39.54493344,39.52551284,39.49392067,53.68979877,58.49658094,58.49463374,58.48347033,58.48870851,58.48095379,58.46743849,58.45893147,58.4634327,58.4550125
2,2,2010,2,1000,29.06081627,15.18963762,10.01894804,25.49428887,56.22625863,0,0,15.18963762,13.94877903,20.26444231,20.26919871,20.27885181,20.28429831,20.28772587,20.29308538,20.30138821,20.30432804,10.01894804,0.254545455,6.560328092,6.566585195,6.566585195,6.577994317,6.586711346,6.600356579,6.614032555,6.625228913,29.06081627,29.12352567,33.02483948,33.03101787,33.03344992,33.03887915,33.04180631,33.04348263,33.04618878,33.04769986,25.49428887,24.42048906,39.61527324,39.60338915,39.5957243,39.58301256,39.56424713,39.54493344,39.52551284,39.49392067,56.22625863,53.68979877,58.49463374,58.48347033,58.48870851,58.48095379,58.46743849,58.45893147,58.4634327,58.4550125
3,3,2010,3,1000,29.5594124,13.34676988,0,20.41394246,50.72442131,0,0,13.34676988,15.18963762,13.94877903,20.26919871,20.27885181,20.28429831,20.28772587,20.29308538,20.30138821,20.30432804,0,10.01894804,0.254545455,6.566585195,6.566585195,6.577994317,6.586711346,6.600356579,6.614032555,6.625228913,29.5594124,29.06081627,29.12352567,33.03101787,33.03344992,33.03887915,33.04180631,33.04348263,33.04618878,33.04769986,20.41394246,25.49428887,24.42048906,39.60338915,39.5957243,39.58301256,39.56424713,39.54493344,39.52551284,39.49392067,50.72442131,56.22625863,53.68979877,58.48347033,58.48870851,58.48095379,58.46743849,58.45893147,58.4634327,58.4550125
4,4,2010,4,1000,30.1564497,12.72924351,0,16.21196315,41.89811178,90,1,12.72924351,13.34676988,15.18963762,13.94877903,20.27885181,20.28429831,20.28772587,20.29308538,20.30138821,20.30432804,0,0,10.01894804,0.254545455,6.566585195,6.577994317,6.586711346,6.600356579,6.614032555,6.625228913,30.1564497,29.5594124,29.06081627,29.12352567,33.03344992,33.03887915,33.04180631,33.04348263,33.04618878,33.04769986,16.21196315,20.41394246,25.49428887,24.42048906,39.5957243,39.58301256,39.56424713,39.54493344,39.52551284,39.49392067,41.89811178,50.72442131,56.22625863,53.68979877,58.48870851,58.48095379,58.46743849,58.45893147,58.4634327,58.4550125
5,5,2010,5,1000,30.54247356,14.94540465,2.973913043,15.03015091,45.27997685,0,0,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,20.28429831,20.28772587,20.29308538,20.30138821,20.30432804,2.973913043,0,0,10.01894804,0.254545455,6.577994317,6.586711346,6.600356579,6.614032555,6.625228913,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,33.03887915,33.04180631,33.04348263,33.04618878,33.04769986,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,39.58301256,39.56424713,39.54493344,39.52551284,39.49392067,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877,58.48095379,58.46743849,58.45893147,58.4634327,58.4550125
6,6,2010,6,1000,31.30165025,16.23593601,4.708823529,13.62856414,45.34308527,0,0,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,20.28772587,20.29308538,20.30138821,20.30432804,4.708823529,2.973913043,0,0,10.01894804,0.254545455,6.586711346,6.600356579,6.614032555,6.625228913,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,33.04180631,33.04348263,33.04618878,33.04769986,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,39.56424713,39.54493344,39.52551284,39.49392067,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877,58.46743849,58.45893147,58.4634327,58.4550125
7,7,2010,7,1000,32.68141099,17.39081286,1.909848485,14.61466524,44.10541166,0,0,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,20.29308538,20.30138821,20.30432804,1.909848485,4.708823529,2.973913043,0,0,10.01894804,0.254545455,6.600356579,6.614032555,6.625228913,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,33.04348263,33.04618878,33.04769986,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,39.54493344,39.52551284,39.49392067,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877,58.45893147,58.4634327,58.4550125
8,8,2010,8,1000,33.68817747,17.20775865,1.993650794,11.34554826,38.5766228,0,0,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,20.30138821,20.30432804,1.993650794,1.909848485,4.708823529,2.973913043,0,0,10.01894804,0.254545455,6.614032555,6.625228913,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,33.04618878,33.04769986,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,39.52551284,39.49392067,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877,58.4634327,58.4550125
9,9,2010,9,1000,35.5276425,18.19714638,0,7.901033059,31.86932011,0,0,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,20.30432804,0,1.993650794,1.909848485,4.708823529,2.973913043,0,0,10.01894804,0.254545455,6.625228913,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,33.04769986,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,39.49392067,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877,58.4550125
10,10,2010,10,1000,35.65017933,19.79987335,2.801015228,5.869661336,36.81427539,0,0,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,13.94877903,2.801015228,0,1.993650794,1.909848485,4.708823529,2.973913043,0,0,10.01894804,0.254545455,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,29.12352567,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,24.42048906,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863,53.68979877
