id,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,29.26677287,14.10495861,0.006779661,11.59571928,54.28966382,14.10495861,20.32441831,20.33658264,20.34331182,20.3485298,20.35437751,20.35337111,20.3547058,20.3602349,20.3639675,0.006779661,22.19080158,22.2264781,22.26226876,22.28904575,22.29596613,22.31001534,22.33595172,22.3672308,22.40061322,29.26677287,32.9344679,32.94165753,32.94789503,32.95428721,32.96094787,32.96396421,32.96709528,32.97050222,32.9729046,11.59571928,23.25003605,23.25151501,23.25193176,23.23693835,23.22993238,23.21682498,23.19509589,23.15267178,23.11364181,54.28966382,59.15658169,59.14683386,59.18193893,59.17385138,59.15967338,59.18142755,59.21035515,59.18507044,59.18282221
2,X2010.1,2,0,2010,29.17632471,15.44595737,9.190799031,12.25371432,55.99516517,15.44595737,14.10495861,20.33658264,20.34331182,20.3485298,20.35437751,20.35337111,20.3547058,20.3602349,20.3639675,9.190799031,0.006779661,22.2264781,22.26226876,22.28904575,22.29596613,22.31001534,22.33595172,22.3672308,22.40061322,29.17632471,29.26677287,32.94165753,32.94789503,32.95428721,32.96094787,32.96396421,32.96709528,32.97050222,32.9729046,12.25371432,11.59571928,23.25151501,23.25193176,23.23693835,23.22993238,23.21682498,23.19509589,23.15267178,23.11364181,55.99516517,54.28966382,59.14683386,59.18193893,59.17385138,59.15967338,59.18142755,59.21035515,59.18507044,59.18282221
3,X2010.2,3,0,2010,29.67185815,13.56868142,0,10.54898381,50.73685899,13.56868142,15.44595737,14.10495861,20.34331182,20.3485298,20.35437751,20.35337111,20.3547058,20.3602349,20.3639675,0,9.190799031,0.006779661,22.26226876,22.28904575,22.29596613,22.31001534,22.33595172,22.3672308,22.40061322,29.67185815,29.17632471,29.26677287,32.94789503,32.95428721,32.96094787,32.96396421,32.96709528,32.97050222,32.9729046,10.54898381,12.25371432,11.59571928,23.25193176,23.23693835,23.22993238,23.21682498,23.19509589,23.15267178,23.11364181,50.73685899,55.99516517,54.28966382,59.18193893,59.17385138,59.15967338,59.18142755,59.21035515,59.18507044,59.18282221
4,X2010.3,4,90,2010,30.20547654,12.85961194,0,8.305290424,42.48235758,12.85961194,13.56868142,15.44595737,14.10495861,20.3485298,20.35437751,20.35337111,20.3547058,20.3602349,20.3639675,0,0,9.190799031,0.006779661,22.28904575,22.29596613,22.31001534,22.33595172,22.3672308,22.40061322,30.20547654,29.67185815,29.17632471,29.26677287,32.95428721,32.96094787,32.96396421,32.96709528,32.97050222,32.9729046,8.305290424,10.54898381,12.25371432,11.59571928,23.23693835,23.22993238,23.21682498,23.19509589,23.15267178,23.11364181,42.48235758,50.73685899,55.99516517,54.28966382,59.17385138,59.15967338,59.18142755,59.21035515,59.18507044,59.18282221
5,X2010.4,5,0,2010,30.63605921,15.08724116,0.331234867,6.796574915,46.33438781,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,20.35437751,20.35337111,20.3547058,20.3602349,20.3639675,0.331234867,0,0,9.190799031,0.006779661,22.29596613,22.31001534,22.33595172,22.3672308,22.40061322,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,32.96094787,32.96396421,32.96709528,32.97050222,32.9729046,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,23.22993238,23.21682498,23.19509589,23.15267178,23.11364181,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382,59.15967338,59.18142755,59.21035515,59.18507044,59.18282221
6,X2010.5,6,0,2010,31.40413931,16.31903882,0.775302663,6.333465567,47.10942305,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,20.35337111,20.3547058,20.3602349,20.3639675,0.775302663,0.331234867,0,0,9.190799031,0.006779661,22.31001534,22.33595172,22.3672308,22.40061322,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,32.96396421,32.96709528,32.97050222,32.9729046,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,23.21682498,23.19509589,23.15267178,23.11364181,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382,59.18142755,59.21035515,59.18507044,59.18282221
7,X2010.6,7,0,2010,32.85151836,17.58852819,2.38716707,6.761962707,43.47329313,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,20.3547058,20.3602349,20.3639675,2.38716707,0.775302663,0.331234867,0,0,9.190799031,0.006779661,22.33595172,22.3672308,22.40061322,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,32.96709528,32.97050222,32.9729046,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,23.19509589,23.15267178,23.11364181,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382,59.21035515,59.18507044,59.18282221
8,X2010.7,8,0,2010,33.81379904,17.4272083,1.15472155,5.481359621,40.22943721,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,20.3602349,20.3639675,1.15472155,2.38716707,0.775302663,0.331234867,0,0,9.190799031,0.006779661,22.3672308,22.40061322,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,32.97050222,32.9729046,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,23.15267178,23.11364181,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382,59.18507044,59.18282221
9,X2010.8,9,0,2010,35.58550178,18.34104121,0,4.153318889,34.05655764,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,20.3639675,0,1.15472155,2.38716707,0.775302663,0.331234867,0,0,9.190799031,0.006779661,22.40061322,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,32.9729046,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,23.11364181,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382,59.18282221
10,X2010.9,10,0,2010,35.77309857,19.95099117,1.336077482,2.67792228,38.78895653,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,14.10495861,1.336077482,0,1.15472155,2.38716707,0.775302663,0.331234867,0,0,9.190799031,0.006779661,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,29.26677287,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,11.59571928,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517,54.28966382
