,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,22.31748753,8.670832324,1.548429319,31.32434334,60.73096076,8.670832324,21.55709625,21.56196366,21.56683107,21.63149361,21.69615615,21.69628147,21.69640679,21.69689597,21.69738514,1.548429319,2.279787234,2.284362644,2.288938053,2.304068183,2.319198312,2.328349156,2.319198312,2.328349156,2.3375,22.31748753,33.46247826,33.46649843,33.47051859,33.48121897,33.49191934,33.49629041,33.50066147,33.52979656,33.55893164,31.32434334,36.00305568,35.96323678,35.92341787,35.91286948,35.90232109,35.88621495,35.8701088,35.85713107,35.84415333,60.73096076,47.68606574,47.68088877,47.67571179,47.67497639,47.67424098,47.64966018,47.62507938,47.64966018,47.67424098
2,X2010.1,2,0,2010,19.64381678,6.783152162,2.424448529,25.58025248,68.44669622,6.783152162,8.670832324,21.56196366,21.56683107,21.63149361,21.69615615,21.69628147,21.69640679,21.69689597,21.69738514,2.424448529,1.548429319,2.284362644,2.288938053,2.304068183,2.319198312,2.328349156,2.319198312,2.328349156,2.3375,19.64381678,22.31748753,33.46649843,33.47051859,33.48121897,33.49191934,33.49629041,33.50066147,33.52979656,33.55893164,25.58025248,31.32434334,35.96323678,35.92341787,35.91286948,35.90232109,35.88621495,35.8701088,35.85713107,35.84415333,68.44669622,60.73096076,47.68088877,47.67571179,47.67497639,47.67424098,47.64966018,47.62507938,47.64966018,47.67424098
3,X2010.2,3,0,2010,24.06255281,7.472403725,0,23.11167223,59.73135248,7.472403725,6.783152162,8.670832324,21.56683107,21.63149361,21.69615615,21.69628147,21.69640679,21.69689597,21.69738514,0,2.424448529,1.548429319,2.288938053,2.304068183,2.319198312,2.328349156,2.319198312,2.328349156,2.3375,24.06255281,19.64381678,22.31748753,33.47051859,33.48121897,33.49191934,33.49629041,33.50066147,33.52979656,33.55893164,23.11167223,25.58025248,31.32434334,35.92341787,35.91286948,35.90232109,35.88621495,35.8701088,35.85713107,35.84415333,59.73135248,68.44669622,60.73096076,47.67571179,47.67497639,47.67424098,47.64966018,47.62507938,47.64966018,47.67424098
4,X2010.3,4,0,2010,26.69293791,10.0803447,0.071875,22.24523291,47.68606574,10.0803447,7.472403725,6.783152162,8.670832324,21.63149361,21.69615615,21.69628147,21.69640679,21.69689597,21.69738514,0.071875,0,2.424448529,1.548429319,2.304068183,2.319198312,2.328349156,2.319198312,2.328349156,2.3375,26.69293791,24.06255281,19.64381678,22.31748753,33.48121897,33.49191934,33.49629041,33.50066147,33.52979656,33.55893164,22.24523291,23.11167223,25.58025248,31.32434334,35.91286948,35.90232109,35.88621495,35.8701088,35.85713107,35.84415333,47.68606574,59.73135248,68.44669622,60.73096076,47.67497639,47.67424098,47.64966018,47.62507938,47.64966018,47.67424098
5,X2010.4,5,0,2010,27.2063727,10.84837267,0.1,19.62433649,42.94433932,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,21.69615615,21.69628147,21.69640679,21.69689597,21.69738514,0.1,0.071875,0,2.424448529,1.548429319,2.319198312,2.328349156,2.319198312,2.328349156,2.3375,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,33.49191934,33.49629041,33.50066147,33.52979656,33.55893164,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,35.90232109,35.88621495,35.8701088,35.85713107,35.84415333,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076,47.67424098,47.64966018,47.62507938,47.64966018,47.67424098
6,X2010.5,6,0,2010,27.00861795,12.28835095,2.539953271,21.21820257,39.70442343,12.28835095,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,21.69628147,21.69640679,21.69689597,21.69738514,2.539953271,0.1,0.071875,0,2.424448529,1.548429319,2.328349156,2.319198312,2.328349156,2.3375,27.00861795,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,33.49629041,33.50066147,33.52979656,33.55893164,21.21820257,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,35.88621495,35.8701088,35.85713107,35.84415333,39.70442343,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076,47.64966018,47.62507938,47.64966018,47.67424098
7,X2010.6,7,0,2010,26.13888818,10.50981366,2.09010989,15.78029321,42.43106584,10.50981366,12.28835095,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,21.69640679,21.69689597,21.69738514,2.09010989,2.539953271,0.1,0.071875,0,2.424448529,1.548429319,2.319198312,2.328349156,2.3375,26.13888818,27.00861795,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,33.50066147,33.52979656,33.55893164,15.78029321,21.21820257,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,35.8701088,35.85713107,35.84415333,42.43106584,39.70442343,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076,47.62507938,47.64966018,47.67424098
8,X2010.7,8,0,2010,30.03600928,12.67646896,2.772380952,15.60908656,40.86831203,12.67646896,10.50981366,12.28835095,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,21.69689597,21.69738514,2.772380952,2.09010989,2.539953271,0.1,0.071875,0,2.424448529,1.548429319,2.328349156,2.3375,30.03600928,26.13888818,27.00861795,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,33.52979656,33.55893164,15.60908656,15.78029321,21.21820257,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,35.85713107,35.84415333,40.86831203,42.43106584,39.70442343,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076,47.64966018,47.67424098
9,X2010.8,9,0,2010,33.20109307,16.74133233,0.322727273,13.06133605,36.40267062,16.74133233,12.67646896,10.50981366,12.28835095,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,21.69738514,0.322727273,2.772380952,2.09010989,2.539953271,0.1,0.071875,0,2.424448529,1.548429319,2.3375,33.20109307,30.03600928,26.13888818,27.00861795,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,33.55893164,13.06133605,15.60908656,15.78029321,21.21820257,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,35.84415333,36.40267062,40.86831203,42.43106584,39.70442343,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076,47.67424098
10,X2010.9,10,0,2010,31.74521738,16.20742854,2.566853933,11.52817684,36.37753745,16.20742854,16.74133233,12.67646896,10.50981366,12.28835095,10.84837267,10.0803447,7.472403725,6.783152162,8.670832324,2.566853933,0.322727273,2.772380952,2.09010989,2.539953271,0.1,0.071875,0,2.424448529,1.548429319,31.74521738,33.20109307,30.03600928,26.13888818,27.00861795,27.2063727,26.69293791,24.06255281,19.64381678,22.31748753,11.52817684,13.06133605,15.60908656,15.78029321,21.21820257,19.62433649,22.24523291,23.11167223,25.58025248,31.32434334,36.37753745,36.40267062,40.86831203,42.43106584,39.70442343,42.94433932,47.68606574,59.73135248,68.44669622,60.73096076
