,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,29.54100685,19.26088643,1.262962963,24.54260524,71.82241931,19.26088643,23.12826153,23.12828737,23.12831321,23.12951372,23.13071422,23.13161789,23.13252155,23.13760763,23.1426937,1.262962963,5.887072965,5.853360671,5.819648376,5.816799497,5.813950617,5.807728855,5.801507092,5.788705927,5.775904762,29.54100685,32.36865744,32.38451373,32.40037001,32.40545237,32.41053472,32.41578376,32.42103279,32.43118479,32.44133678,24.54260524,28.46870642,28.42247894,28.37625146,28.37052251,28.36479356,28.3383009,28.31180823,28.30676995,28.30173167,71.82241931,67.44525835,67.41996284,67.39466732,67.39311001,67.3915527,67.36903013,67.34650755,67.33459884,67.32269013
2,X2010.1,2,0,2010,29.64343378,21.35900166,3.68302935,31.96140358,79.8009912,21.35900166,19.26088643,23.12828737,23.12831321,23.12951372,23.13071422,23.13161789,23.13252155,23.13760763,23.1426937,3.68302935,1.262962963,5.853360671,5.819648376,5.816799497,5.813950617,5.807728855,5.801507092,5.788705927,5.775904762,29.64343378,29.54100685,32.38451373,32.40037001,32.40545237,32.41053472,32.41578376,32.42103279,32.43118479,32.44133678,31.96140358,24.54260524,28.42247894,28.37625146,28.37052251,28.36479356,28.3383009,28.31180823,28.30676995,28.30173167,79.8009912,71.82241931,67.41996284,67.39466732,67.39311001,67.3915527,67.36903013,67.34650755,67.33459884,67.32269013
3,X2010.2,3,0,2010,29.91092953,20.02056801,1.322727273,20.80794055,69.32452815,20.02056801,21.35900166,19.26088643,23.12831321,23.12951372,23.13071422,23.13161789,23.13252155,23.13760763,23.1426937,1.322727273,3.68302935,1.262962963,5.819648376,5.816799497,5.813950617,5.807728855,5.801507092,5.788705927,5.775904762,29.91092953,29.64343378,29.54100685,32.40037001,32.40545237,32.41053472,32.41578376,32.42103279,32.43118479,32.44133678,20.80794055,31.96140358,24.54260524,28.37625146,28.37052251,28.36479356,28.3383009,28.31180823,28.30676995,28.30173167,69.32452815,79.8009912,71.82241931,67.39466732,67.39311001,67.3915527,67.36903013,67.34650755,67.33459884,67.32269013
4,X2010.3,4,0,2010,30.20553366,18.90907919,0.121428572,18.36122607,66.4534271,18.90907919,20.02056801,21.35900166,19.26088643,23.12951372,23.13071422,23.13161789,23.13252155,23.13760763,23.1426937,0.121428572,1.322727273,3.68302935,1.262962963,5.816799497,5.813950617,5.807728855,5.801507092,5.788705927,5.775904762,30.20553366,29.91092953,29.64343378,29.54100685,32.40545237,32.41053472,32.41578376,32.42103279,32.43118479,32.44133678,18.36122607,20.80794055,31.96140358,24.54260524,28.37052251,28.36479356,28.3383009,28.31180823,28.30676995,28.30173167,66.4534271,69.32452815,79.8009912,71.82241931,67.39311001,67.3915527,67.36903013,67.34650755,67.33459884,67.32269013
5,X2010.4,5,0,2010,30.59541301,19.17480207,0.1,13.30441027,64.66648972,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,23.13071422,23.13161789,23.13252155,23.13760763,23.1426937,0.1,0.121428572,1.322727273,3.68302935,1.262962963,5.813950617,5.807728855,5.801507092,5.788705927,5.775904762,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,32.41053472,32.41578376,32.42103279,32.43118479,32.44133678,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,28.36479356,28.3383009,28.31180823,28.30676995,28.30173167,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931,67.3915527,67.36903013,67.34650755,67.33459884,67.32269013
6,X2010.5,6,38,2010,31.13451806,19.20325296,0.25,10.72501437,64.16554739,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,23.13161789,23.13252155,23.13760763,23.1426937,0.25,0.1,0.121428572,1.322727273,3.68302935,1.262962963,5.807728855,5.801507092,5.788705927,5.775904762,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,32.41578376,32.42103279,32.43118479,32.44133678,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,28.3383009,28.31180823,28.30676995,28.30173167,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931,67.36903013,67.34650755,67.33459884,67.32269013
7,X2010.6,7,0,2010,32.64981073,21.36197933,0.466666667,11.06406663,69.34683526,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,23.13252155,23.13760763,23.1426937,0.466666667,0.25,0.1,0.121428572,1.322727273,3.68302935,1.262962963,5.801507092,5.788705927,5.775904762,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,32.42103279,32.43118479,32.44133678,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,28.31180823,28.30676995,28.30173167,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931,67.34650755,67.33459884,67.32269013
8,X2010.7,8,0,2010,33.64424266,21.8881152,2.24,8.859618133,67.32269013,21.8881152,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,23.13760763,23.1426937,2.24,0.466666667,0.25,0.1,0.121428572,1.322727273,3.68302935,1.262962963,5.788705927,5.775904762,33.64424266,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,32.43118479,32.44133678,8.859618133,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,28.30676995,28.30173167,67.32269013,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931,67.33459884,67.32269013
9,X2010.8,9,0,2010,34.03943204,20.99105853,0,7.429488234,63.63952962,20.99105853,21.8881152,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,23.1426937,0,2.24,0.466666667,0.25,0.1,0.121428572,1.322727273,3.68302935,1.262962963,5.775904762,34.03943204,33.64424266,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,32.44133678,7.429488234,8.859618133,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,28.30173167,63.63952962,67.32269013,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931,67.32269013
10,X2010.9,10,0,2010,34.91244408,22.98484517,0,5.739676806,66.17196831,22.98484517,20.99105853,21.8881152,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,19.26088643,0,0,2.24,0.466666667,0.25,0.1,0.121428572,1.322727273,3.68302935,1.262962963,34.91244408,34.03943204,33.64424266,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,29.54100685,5.739676806,7.429488234,8.859618133,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,24.54260524,66.17196831,63.63952962,67.32269013,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912,71.82241931
11,X2010.10,11,0,2010,34.71612741,22.49975907,0.88,5.85465648,64.90905695,22.49975907,22.98484517,20.99105853,21.8881152,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,21.35900166,0.88,0,0,2.24,0.466666667,0.25,0.1,0.121428572,1.322727273,3.68302935,34.71612741,34.91244408,34.03943204,33.64424266,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,29.64343378,5.85465648,5.739676806,7.429488234,8.859618133,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,31.96140358,64.90905695,66.17196831,63.63952962,67.32269013,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815,79.8009912
12,X2010.11,12,0,2010,35.49370918,22.33191901,0.433333333,4.995744953,62.97467161,22.33191901,22.49975907,22.98484517,20.99105853,21.8881152,21.36197933,19.20325296,19.17480207,18.90907919,20.02056801,0.433333333,0.88,0,0,2.24,0.466666667,0.25,0.1,0.121428572,1.322727273,35.49370918,34.71612741,34.91244408,34.03943204,33.64424266,32.64981073,31.13451806,30.59541301,30.20553366,29.91092953,4.995744953,5.85465648,5.739676806,7.429488234,8.859618133,11.06406663,10.72501437,13.30441027,18.36122607,20.80794055,62.97467161,64.90905695,66.17196831,63.63952962,67.32269013,69.34683526,64.16554739,64.66648972,66.4534271,69.32452815
