,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,X2010,1,0,2010,17.92899615,7.707142865,0.707843137,51.95332432,77.19378316,7.707142865,20.95131271,20.95193905,20.95256538,20.99217931,21.03179324,21.03685756,21.04192188,21.08553841,21.12915493,0.707843137,3.48495935,3.480381722,3.475804094,3.480381722,3.48495935,3.496194782,3.48495935,3.496194782,3.507430213,17.92899615,32.54706125,32.561302,32.57554275,32.57605108,32.57655941,32.57775203,32.57894464,32.59845341,32.61796218,51.95332432,51.19159193,51.18799898,51.18440603,51.18209584,51.17978565,51.11298167,51.04617768,51.00913588,50.97209408,77.19378316,63.94490639,63.94211728,63.93932816,63.92636324,63.91339831,63.87017193,63.82694555,63.87017193,63.91339831
2,X2010.1,2,0,2010,16.70527239,7.243942504,4.319190141,50.30164765,76.5730469,7.243942504,7.707142865,20.95193905,20.95256538,20.99217931,21.03179324,21.03685756,21.04192188,21.08553841,21.12915493,4.319190141,0.707843137,3.480381722,3.475804094,3.480381722,3.48495935,3.496194782,3.48495935,3.496194782,3.507430213,16.70527239,17.92899615,32.561302,32.57554275,32.57605108,32.57655941,32.57775203,32.57894464,32.59845341,32.61796218,50.30164765,51.95332432,51.18799898,51.18440603,51.18209584,51.17978565,51.11298167,51.04617768,51.00913588,50.97209408,76.5730469,77.19378316,63.94211728,63.93932816,63.92636324,63.91339831,63.87017193,63.82694555,63.87017193,63.91339831
3,X2010.2,3,0,2010,17.20666671,7.122754173,0,46.50392443,76.13630853,7.122754173,7.243942504,7.707142865,20.95256538,20.99217931,21.03179324,21.03685756,21.04192188,21.08553841,21.12915493,0,4.319190141,0.707843137,3.475804094,3.480381722,3.48495935,3.496194782,3.48495935,3.496194782,3.507430213,17.20666671,16.70527239,17.92899615,32.57554275,32.57605108,32.57655941,32.57775203,32.57894464,32.59845341,32.61796218,46.50392443,50.30164765,51.95332432,51.18440603,51.18209584,51.17978565,51.11298167,51.04617768,51.00913588,50.97209408,76.13630853,76.5730469,77.19378316,63.93932816,63.92636324,63.91339831,63.87017193,63.82694555,63.87017193,63.91339831
4,X2010.3,4,0,2010,22.13802656,7.327370229,0,43.59514887,68.28339688,7.327370229,7.122754173,7.243942504,7.707142865,20.99217931,21.03179324,21.03685756,21.04192188,21.08553841,21.12915493,0,0,4.319190141,0.707843137,3.480381722,3.48495935,3.496194782,3.48495935,3.496194782,3.507430213,22.13802656,17.20666671,16.70527239,17.92899615,32.57605108,32.57655941,32.57775203,32.57894464,32.59845341,32.61796218,43.59514887,46.50392443,50.30164765,51.95332432,51.18209584,51.17978565,51.11298167,51.04617768,51.00913588,50.97209408,68.28339688,76.13630853,76.5730469,77.19378316,63.92636324,63.91339831,63.87017193,63.82694555,63.87017193,63.91339831
5,X2010.4,5,0,2010,24.93410983,9.227528952,0,36.03969098,51.25696826,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,21.03179324,21.03685756,21.04192188,21.08553841,21.12915493,0,0,0,4.319190141,0.707843137,3.48495935,3.496194782,3.48495935,3.496194782,3.507430213,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,32.57655941,32.57775203,32.57894464,32.59845341,32.61796218,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,51.17978565,51.11298167,51.04617768,51.00913588,50.97209408,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316,63.91339831,63.87017193,63.82694555,63.87017193,63.91339831
6,X2010.5,6,0,2010,25.45308456,11.53688977,6.736862745,37.95534238,59.83152516,11.53688977,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,21.03685756,21.04192188,21.08553841,21.12915493,6.736862745,0,0,0,4.319190141,0.707843137,3.496194782,3.48495935,3.496194782,3.507430213,25.45308456,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,32.57775203,32.57894464,32.59845341,32.61796218,37.95534238,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,51.11298167,51.04617768,51.00913588,50.97209408,59.83152516,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316,63.87017193,63.82694555,63.87017193,63.91339831
7,X2010.6,7,0,2010,24.32998284,11.6276748,4.176430976,43.82302095,58.1495782,11.6276748,11.53688977,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,21.04192188,21.08553841,21.12915493,4.176430976,6.736862745,0,0,0,4.319190141,0.707843137,3.48495935,3.496194782,3.507430213,24.32998284,25.45308456,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,32.57894464,32.59845341,32.61796218,43.82302095,37.95534238,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,51.04617768,51.00913588,50.97209408,58.1495782,59.83152516,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316,63.82694555,63.87017193,63.91339831
8,X2010.7,8,0,2010,27.52662813,11.73203777,1.093816254,25.59927636,52.70029017,11.73203777,11.6276748,11.53688977,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,21.08553841,21.12915493,1.093816254,4.176430976,6.736862745,0,0,0,4.319190141,0.707843137,3.496194782,3.507430213,27.52662813,24.32998284,25.45308456,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,32.59845341,32.61796218,25.59927636,43.82302095,37.95534238,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,51.00913588,50.97209408,52.70029017,58.1495782,59.83152516,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316,63.87017193,63.91339831
9,X2010.8,9,0,2010,31.49992279,15.2200515,0,23.26719895,43.32250026,15.2200515,11.73203777,11.6276748,11.53688977,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,21.12915493,0,1.093816254,4.176430976,6.736862745,0,0,0,4.319190141,0.707843137,3.507430213,31.49992279,27.52662813,24.32998284,25.45308456,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,32.61796218,23.26719895,25.59927636,43.82302095,37.95534238,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,50.97209408,43.32250026,52.70029017,58.1495782,59.83152516,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316,63.91339831
10,X2010.9,10,0,2010,30.53255689,14.97102956,0.856875,21.94686945,36.62462227,14.97102956,15.2200515,11.73203777,11.6276748,11.53688977,9.227528952,7.327370229,7.122754173,7.243942504,7.707142865,0.856875,0,1.093816254,4.176430976,6.736862745,0,0,0,4.319190141,0.707843137,30.53255689,31.49992279,27.52662813,24.32998284,25.45308456,24.93410983,22.13802656,17.20666671,16.70527239,17.92899615,21.94686945,23.26719895,25.59927636,43.82302095,37.95534238,36.03969098,43.59514887,46.50392443,50.30164765,51.95332432,36.62462227,43.32250026,52.70029017,58.1495782,59.83152516,51.25696826,68.28339688,76.13630853,76.5730469,77.19378316
