,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,1,0,2010,22.39266578,9.7010456,0,35.4543336,72.22614224,9.7010456,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39266578,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4543336,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.22614224,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,0,2010,23.00692187,10.99930778,0.331578947,34.53469798,67.59231113,10.99930778,9.7010456,NA,NA,NA,NA,NA,NA,NA,NA,0.331578947,0,NA,NA,NA,NA,NA,NA,NA,NA,23.00692187,22.39266578,NA,NA,NA,NA,NA,NA,NA,NA,34.53469798,35.4543336,NA,NA,NA,NA,NA,NA,NA,NA,67.59231113,72.22614224,NA,NA,NA,NA,NA,NA,NA,NA
3,3,0,2010,22.26089834,10.77795289,0.163636364,32.43464082,71.80745975,10.77795289,10.99930778,9.7010456,NA,NA,NA,NA,NA,NA,NA,0.163636364,0.331578947,0,NA,NA,NA,NA,NA,NA,NA,22.26089834,23.00692187,22.39266578,NA,NA,NA,NA,NA,NA,NA,32.43464082,34.53469798,35.4543336,NA,NA,NA,NA,NA,NA,NA,71.80745975,67.59231113,72.22614224,NA,NA,NA,NA,NA,NA,NA
4,4,0,2010,26.00784971,10.10701032,0,26.02687261,58.80771923,10.10701032,10.77795289,10.99930778,9.7010456,NA,NA,NA,NA,NA,NA,0,0.163636364,0.331578947,0,NA,NA,NA,NA,NA,NA,26.00784971,22.26089834,23.00692187,22.39266578,NA,NA,NA,NA,NA,NA,26.02687261,32.43464082,34.53469798,35.4543336,NA,NA,NA,NA,NA,NA,58.80771923,71.80745975,67.59231113,72.22614224,NA,NA,NA,NA,NA,NA
5,5,0,2010,27.27431514,11.46967603,0,21.83865666,56.51862155,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,NA,NA,NA,NA,NA,0,0,0.163636364,0.331578947,0,NA,NA,NA,NA,NA,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,NA,NA,NA,NA,NA,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,NA,NA,NA,NA,NA,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224,NA,NA,NA,NA,NA
6,6,0,2010,28.25512517,13.63967599,1.125,19.05531076,57.95932924,13.63967599,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,NA,NA,NA,NA,1.125,0,0,0.163636364,0.331578947,0,NA,NA,NA,NA,28.25512517,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,NA,NA,NA,NA,19.05531076,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,NA,NA,NA,NA,57.95932924,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224,NA,NA,NA,NA
7,7,0,2010,28.77954343,16.24050073,2.813761468,19.85658119,60.19473118,16.24050073,13.63967599,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,NA,NA,NA,2.813761468,1.125,0,0,0.163636364,0.331578947,0,NA,NA,NA,28.77954343,28.25512517,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,NA,NA,NA,19.85658119,19.05531076,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,NA,NA,NA,60.19473118,57.95932924,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224,NA,NA,NA
8,8,0,2010,29.77961706,15.7403829,3.201492537,17.60649953,56.10776659,15.7403829,16.24050073,13.63967599,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,NA,NA,3.201492537,2.813761468,1.125,0,0,0.163636364,0.331578947,0,NA,NA,29.77961706,28.77954343,28.25512517,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,NA,NA,17.60649953,19.85658119,19.05531076,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,NA,NA,56.10776659,60.19473118,57.95932924,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224,NA,NA
9,9,0,2010,32.74508101,18.47600889,4.411574074,15.40526359,57.63121477,18.47600889,15.7403829,16.24050073,13.63967599,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,NA,4.411574074,3.201492537,2.813761468,1.125,0,0,0.163636364,0.331578947,0,NA,32.74508101,29.77961706,28.77954343,28.25512517,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,NA,15.40526359,17.60649953,19.85658119,19.05531076,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,NA,57.63121477,56.10776659,60.19473118,57.95932924,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224,NA
10,10,0,2010,33.20621474,19.79235646,0.41,14.7802514,53.28129055,19.79235646,18.47600889,15.7403829,16.24050073,13.63967599,11.46967603,10.10701032,10.77795289,10.99930778,9.7010456,0.41,4.411574074,3.201492537,2.813761468,1.125,0,0,0.163636364,0.331578947,0,33.20621474,32.74508101,29.77961706,28.77954343,28.25512517,27.27431514,26.00784971,22.26089834,23.00692187,22.39266578,14.7802514,15.40526359,17.60649953,19.85658119,19.05531076,21.83865666,26.02687261,32.43464082,34.53469798,35.4543336,53.28129055,57.63121477,56.10776659,60.19473118,57.95932924,56.51862155,58.80771923,71.80745975,67.59231113,72.22614224
